,0
age,0.031084621808263532
gender,0.0
marital_status,0.04543578309670086
income,0.07631007205791134
existing_debts,0.05869089986478995
savings,0.029811000245778006
assets,0.015388591702734383
existing_loans,0.04488835695089696
debt_to_income_ratio,0.05460579575283923
credit_score,0.07032959189371295
past_defaults,0.030711837943628275
credit_utilization,0.03290952448175004
credit_accounts,0.040607230530151195
credit_inquiries,0.04030530240979166
credit_history_length,0.033529664502254586
occupation,0.04347702403649522
job_title,0.0
employment_length,0.044767047160065035
employment_type,0.04132997229429245
years_current_job,0.03861318014043757
loan_amount,0.03405349523260793
loan_term,0.03692777027432913
interest_rate,0.03456410551948042
loan_purpose,0.05150846712368334
loan_to_value_ratio,0.07015066497740596
